spot_name,region,richness,tags,summary,address,video_id,views,keywords
하우스 오브 테디베어,기타,mid,감성,사진찍기 좋은 곰인형과 아기자기한 소품을 판매한다.,,XZ7ZBroJZaM,47516,제주 카페|함덕 카페|중문 카페|제주 조용한 카페|제주 신상 카페|제주 노을 카페|남원 카페
행복밀,기타,low,베이커리,,,7Ww_ed2lUws,56780,제주 베이커리 카페
허니문하우스,기타,low,감성,,,_DsuWOBcJHY,97460,제주 감성 카페
호랑호랑카페,기타,low,대형,,,Yf4XNOaXEew,13,제주 대형카페
후우,기타,high,브런치,본문에 주소(제주 제주시 한경면 칠전로 145)가 명시된 브런치 카페.,제주 제주시 한경면 칠전로 145,JPVexkWBTwM,8776,제주 브런치 카페
,김녕,low,,,,O-I_ni8Pn1k,111,김녕 카페
(제주 김녕 해변 앞 신상 카페),김녕,low,오션뷰|신상,,,Q03VdDKOfPs,4635,김녕 카페
Lilot,김녕,mid,브런치,샌드위치로 블루리본 6개를 받은 샌드위치(인생 샌디치),,q_30WScWLOo,6236,김녕 카페
MY PIGGY HOUSE,김녕,low,,힙한 식료품 가게.,,q_30WScWLOo,6236,김녕 카페
rooin home,김녕,low,,,,q_30WScWLOo,6236,김녕 카페
구아우쇼콜라,김녕,low,디저트,,,aUJV3YoMfJo,22022,함덕 카페|김녕 카페|세화 카페
김녕마을 카페 (특정명 없음),김녕,low,,,,Kl2VhA04MgA,151,김녕 카페
김녕빗소리,김녕,high,,,제주 제주시 구좌읍 김녕로 151 1층,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
김녕빗소리,김녕,low,,,,NYw8oKrqgRc,5379,김녕 카페
김녕빵집,김녕,low,베이커리,,,NYw8oKrqgRc,5379,김녕 카페
김녕빵집,김녕,low,베이커리,,,q_30WScWLOo,6236,김녕 카페
김녕빵집,김녕,high,베이커리|브런치|디저트,"제주도 분위기 물씬한 베이커리 카페. 김녕해수욕장까지 차로 약 2분(1.4km), 카페 공간과 빵 구입 공간이 분리되어 있고 전자렌지 비치, 텀블러·용기 할인 혜택이 있음. 가격 예시(슈가스틱 2,700원, 소금빵 2,100원 등)",,WHcf1nwzvOg,1850,김녕 카페
김녕빵집,김녕,low,베이커리,,,lqYdejA2Loo,15787,세화 카페
김녕오라이,김녕,low,,,,NYw8oKrqgRc,5379,김녕 카페
김녕음악사,김녕,low,라이브공연,카페겸 바 형태로 혼술하기 좋은 공간.,,lqYdejA2Loo,15787,세화 카페
김녕카페,김녕,low,,,,HTywpN-HheY,24,김녕 카페
김녕카페123,김녕,low,,,,NYw8oKrqgRc,5379,김녕 카페
김녕해변,김녕,low,,,,M9U1JcdG-W4,350,김녕 카페
김녕해수욕장,김녕,low,,,,c59yTP7DtyE,3562,김녕 카페
까망도그,김녕,high,,,제주 제주시 구좌읍 김녕로21길 23 1층,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
내음커피바,김녕,mid,감성|브런치|디저트,창 밖 분위기가 예쁘고 깔끔하다는 숙소 설명과 함께 본문에서 김녕에 방문해 카페 이용을 언급합니다.,,czeXJB0wRZE,15651,김녕 카페
넘은봄,김녕,high,디저트,,제주 제주시 구좌읍 김녕로1길 75-1 1층,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
느랏 청굴물,김녕,low,디저트,,,Gk8VgoFHByM,33490,김녕 카페
더모먼트,김녕,low,감성,,,meiryhEWGlM,184,김녕 카페
델문도,김녕,high,오션뷰|대형|베이커리|브런치|디저트,"김녕해수욕장 바로 앞에 있는 2층 규모의 대형 베이커리카페로 오션뷰를 즐길 수 있으며, 아메리카노(₩6,000), 김녕바당라떼(₩10,000) 등 시그니처 음료와 우도땅콩빵(₩5,000), 제주돌빵(₩4,500) 등의 빵을 판매합니다.",제주 제주시 구좌읍 해맞이해안로 140,fpmx5PPOZq4,1398,김녕 카페
델문도 김녕,김녕,low,오션뷰|베이커리,,,cJ4mNonRQcg,26899,제주 오션뷰 카페
델문도 김녕점,김녕,low,,,,pVCFy8L3X7s,2324,함덕 맛집
델문도 김녕점,김녕,mid,오션뷰|베이커리,김녕 바다뷰 카페로 드라마 '폭싹 속았수다' 촬영지이며 직접 로스팅한 원두와 베이커리를 제공한다. 현재(9.16–9.30) 5만원 이상 결제 시 10% 할인 이벤트 진행 중.,,R5clF92qs8w,1232,김녕 카페
델문도 김녕점,김녕,low,오션뷰|감성,,,jYrIgz6x4xc,821,김녕 카페
델문도 김녕점,김녕,low,오션뷰|감성,,,y6Ax9g36cNA,174,김녕 카페
델문도 김녕점,김녕,low,대형|오션뷰,,,oeJeyaZoRe0,129,김녕 카페
델문도김녕점,김녕,low,,,,xGSHHyIvIIw,489,김녕 카페
델문도김녕카페,김녕,mid,감성|베이커리|디저트,음료 2잔 제공(패키지 포함).,,tuH-AGjcFYA,848,제주 감성 카페
돌담위에토끼,김녕,low,,,,LoTRuXIrb9g,21041,김녕 카페
딜레탕트,김녕,low,베이커리,,,Gk8VgoFHByM,33490,김녕 카페
또꼰한 카페,김녕,low,,,,PqlbJ8GpGHI,334,김녕 카페
롯지먼트,김녕,low,감성,,,aUJV3YoMfJo,22022,함덕 카페|김녕 카페|세화 카페
모멘터리커피,김녕,high,베이커리|디저트|야외석|주차편함|감성,"돌담 뷰와 정원(야외석)이 있는 감성적인 카페로 시그니처는 플랫 커피(모멘터리 플랫 등, 가격 6,000~6,500원)이며 스콘 등 직접 굽는 디저트를 판매합니다. 주차는 카페 앞 공터에 가능하고 영업 종료 시간이 변동될 수 있으니 인스타 공지 확인 권장.",제주시 구좌읍 김녕로17길 14,d7OmnGzTRW0,4704,김녕 카페
모알보알,김녕,low,,,,NYw8oKrqgRc,5379,김녕 카페
무우수,김녕,mid,브런치,로스터리 카페로 커피가 맛있어 원두도 구매함.,,PsCTipWlT-w,58386,김녕 카페
미영이네,김녕,low,,,,Gk8VgoFHByM,33490,김녕 카페
베릴,김녕,low,오션뷰,,,KprXBBtoQbY,1613,제주 오션뷰 카페
블루메베이글,김녕,low,베이커리,,,LoTRuXIrb9g,21041,김녕 카페
서랍,김녕,low,,,,NYw8oKrqgRc,5379,김녕 카페
소색채본카페,김녕,mid,감성|베이커리|디저트,음료 2잔 제공(패키지 포함).,,tuH-AGjcFYA,848,제주 감성 카페
스프레무따,김녕,low,,,,LoTRuXIrb9g,21041,김녕 카페
슬로모,김녕,low,,,,k2cR-TWsLIU,208871,한림 카페|월정리 카페
아베베,김녕,low,베이커리,본문에 김녕 지역의 빵집으로 언급되어 카페(베이커리) 후보로 채택됩니다.,,czeXJB0wRZE,15651,김녕 카페
아베베베이커리,김녕,low,베이커리,,,k2cR-TWsLIU,208871,한림 카페|월정리 카페
아베베비킬라,김녕,low,,,,NYw8oKrqgRc,5379,김녕 카페
저스트원더노트,김녕,high,감성,김녕 근처 해안도로에 위치한 카페로 LP바 같은 분위기여서 저녁에 와도 좋을 것 같다고 소개됨.,제주 제주시 구좌읍 김녕리 5993,S52bsdQQNZo,2449,월정리 카페|월정리 맛집
